city,lat,lng,group
Yajalón,17.1833,-92.3167,A
Camargo,27.667,-105.167,B
Cihuatlán,19.25,-104.5667,A
Heroica Ciudad de Tlaxiaco,17.2077,-97.6798,C
Zimapan,20.7333,-99.3833,B
Yecapixtla,18.8833,-98.865,A
Matías Romero,16.8667,-95.0333,A
Temascal,18.2394,-96.4031,A
Villa del Carbón,19.7272,-99.5417,C
Apan,19.7,-98.4333,C
Playa Vicente,17.8333,-95.8167,A
Axochiapan,18.5,-98.75,A
Nueva Rosita,27.9372,-101.2172,B
Ciudad Melchor Múzquiz,27.8667,-101.5,C
Galeana,24.8333,-100.0667,B
Juan Rodríguez Clara,18.0,-95.4,A
Empalme,27.9617,-110.8125,B
Zacatelco,19.2167,-98.2333,C
Santa Clara del Cobre,19.405,-101.638,C
San Felipe Orizatlán,21.1719,-98.6064,A
Xico,19.417,-97.0,C
Zacualtipán,20.65,-98.65,C
Cananea,30.9828,-110.3017,C
Tlapa de Comonfort,17.5461,-98.5764,A
San Juan Cancuc,16.9333,-92.3833,A
Ameca,20.5486,-104.0431,C
Tlalixcoyan,18.8031,-96.0611,A
Calpulalpan,19.5869,-98.5683,C
Jalapa,17.7,-92.8,A
Mixquiahuala de Juarez,20.2311,-99.2131,B
Melchor Ocampo,19.7083,-99.1444,C
Villaflores,16.2355,-93.2677,A
Tuxpan,19.5539,-103.3756,A
Perote,19.5619,-97.2419,C
Paracho de Verduzco,19.65,-102.0667,C
Progreso,21.2828,-89.6636,B
Mariano Escobedo,18.9167,-97.1333,C
Salvatierra,20.2156,-100.8961,C
Ciudad Manuel Doblado,20.7303,-101.9533,C
Sayula,19.8667,-103.6167,C
Jaral del Progreso,20.3667,-101.0667,C
Tomatlán,19.9369,-105.25,A
Santiago Juxtlahuaca,17.3333,-98.0167,C
Coatepec Harinas,18.9,-99.7167,C
Zacatepec,18.6833,-99.1833,A
Berriozábal,16.8003,-93.2733,A
Miahuatlán de Porfirio Díaz,16.3167,-96.5833,B
Tamuín,22.0,-98.7833,A
Tonalá,16.0914,-93.7518,A
Ciudad de Allende,25.2833,-100.0167,C
Tangancícuaro de Arista,19.887,-102.208,C
Soteapan,18.2333,-94.8667,A
Río Grande,23.8225,-103.0361,B
Tenosique,17.4756,-91.4225,A
Ocuilan de Arteaga,19.0,-99.4,C
Santa Ana Nextlalpan,19.7167,-99.0667,C
La Huacana,18.9625,-101.8069,A
Tepeji del Río de Ocampo,19.9039,-99.3414,C
Acatlán de Osorio,18.2086,-98.0575,B
San Juan Evangelista,17.8833,-95.1333,A
Parras de la Fuente,25.4403,-102.1792,B
