name,state,population,latitude,longitude
Playa Vicente,Veracruz,39205.0,17.8333,-95.8167
Axochiapan,Morelos,39174.0,18.5,-98.75
Nueva Rosita,Coahuila,39058.0,27.9372,-101.2172
Ciudad Melchor Múzquiz,Coahuila,38992.0,27.8667,-101.5
Galeana,Nuevo León,38930.0,24.8333,-100.0667
Juan Rodríguez Clara,Veracruz,38895.0,18.0,-95.4
Empalme,Sonora,38886.0,27.9617,-110.8125
Zacatelco,Tlaxcala,38654.0,19.2167,-98.2333
Santa Clara del Cobre,Michoacán,38502.0,19.405,-101.638
San Felipe Orizatlán,Hidalgo,38472.0,21.1719,-98.6064
Xico,Veracruz,38198.0,19.417,-97.0
Zacualtipán,Hidalgo,38155.0,20.65,-98.65
Cananea,Sonora,38113.0,30.9828,-110.3017
Tlapa de Comonfort,Guerrero,37975.0,17.5461,-98.5764
San Juan Cancuc,Chiapas,37948.0,16.9333,-92.3833
Ameca,Jalisco,37871.0,20.5486,-104.0431
Tlalixcoyan,Veracruz,37857.0,18.8031,-96.0611
Calpulalpan,Tlaxcala,37752.0,19.5869,-98.5683
Jalapa,Tabasco,37749.0,17.7,-92.8
Mixquiahuala de Juarez,Hidalgo,37747.0,20.2311,-99.2131
Melchor Ocampo,México,37706.0,19.7083,-99.1444
Villaflores,Chiapas,37546.0,16.2355,-93.2677
Tuxpan,Jalisco,37518.0,19.5539,-103.3756
Perote,Veracruz,37516.0,19.5619,-97.2419
Paracho de Verduzco,Michoacán,37464.0,19.65,-102.0667
Progreso,Yucatán,37369.0,21.2828,-89.6636
Mariano Escobedo,Veracruz,37285.0,18.9167,-97.1333
Salvatierra,Guanajuato,37203.0,20.2156,-100.8961
Ciudad Manuel Doblado,Guanajuato,37145.0,20.7303,-101.9533
Sayula,Jalisco,36778.0,19.8667,-103.6167
Jaral del Progreso,Guanajuato,36584.0,20.3667,-101.0667
Tomatlán,Jalisco,36316.0,19.9369,-105.25
Santiago Juxtlahuaca,Oaxaca,36275.0,17.3333,-98.0167
Coatepec Harinas,México,36269.0,18.9,-99.7167
Zacatepec,Morelos,36159.0,18.6833,-99.1833
Berriozábal,Chiapas,36084.0,16.8003,-93.2733
Miahuatlán de Porfirio Díaz,Oaxaca,35517.0,16.3167,-96.5833
Tamuín,San Luis Potosí,35446.0,22.0,-98.7833
Tonalá,Chiapas,35322.0,16.0914,-93.7518
Ciudad de Allende,Nuevo León,35289.0,25.2833,-100.0167
Tangancícuaro de Arista,Michoacán,35256.0,19.887,-102.208
Soteapan,Veracruz,35155.0,18.2333,-94.8667
Río Grande,Zacatecas,35050.0,23.8225,-103.0361
Tenosique,Tabasco,34946.0,17.4756,-91.4225
Ocuilan de Arteaga,México,34485.0,19.0,-99.4
Santa Ana Nextlalpan,México,34374.0,19.7167,-99.0667
La Huacana,Michoacán,34243.0,18.9625,-101.8069
Tepeji del Río de Ocampo,Hidalgo,34151.0,19.9039,-99.3414
Acatlán de Osorio,Puebla,33954.0,18.2086,-98.0575
San Juan Evangelista,Veracruz,33929.0,17.8833,-95.1333
Parras de la Fuente,Coahuila,33817.0,25.4403,-102.1792
Zacatlán,Puebla,33736.0,19.9319,-97.96
Tlanchinol,Hidalgo,33694.0,19.9892,-98.6786
Ixtapan de la Sal,México,33541.0,18.8333,-99.6833
Paso de Ovejas,Veracruz,33392.0,19.285,-96.44
Tulum,Quintana Roo,33374.0,20.2119,-87.4658
Pánuco,Veracruz,33122.0,22.05,-98.1833
