"","city","lat","lng","group"
"398","Tlanchinol",19.9892,-98.6786,"C"
"399","Ixtapan de la Sal",18.8333,-99.6833,"C"
"400","Paso de Ovejas",19.285,-96.44,"A"
"401","Tulum",20.2119,-87.4658,"A"
"402","Pánuco",22.05,-98.1833,"A"
"403","Temascalapa",19.8,-98.9,"C"
"404","Villanueva",22.3536,-102.8831,"B"
"405","San Felipe",21.4833,-101.2167,"B"
"406","Ticul",20.3953,-89.5339,"A"
"407","Sayula de Alemán",17.8833,-94.95,"A"
"408","Putla Villa de Guerrero",17.0167,-97.9167,"A"
"409","Nueva Italia de Ruiz",19.0194,-102.1089,"B"
"410","Huixtla",15.1383,-92.4658,"A"
"411","Ciudad Sabinas Hidalgo",26.5,-100.1833,"B"
"412","Paso del Macho",18.9667,-96.7167,"A"
"413","Turicato",19.05,-101.4167,"B"
"414","El Oro de Hidalgo",19.8008,-100.1314,"C"
"415","Amatenango de la Frontera",15.5333,-92.0833,"A"
"416","Amecameca de Juárez",19.75,-99.1711,"C"
"417","Tecozautla",20.5333,-99.6333,"B"
"418","Cuauhtémoc",19.3281,-103.6028,"A"
"419","Tequila",20.8828,-103.8367,"A"
"420","Tancítaro",19.3378,-102.3625,"C"
"421","Rodolfo Sánchez Taboada",31.7958,-116.5911,"B"
"422","Champotón",19.35,-90.7167,"A"
"423","Juanacatlán",20.5,-103.1667,"C"
"424","Capulhuac",19.2,-99.4667,"C"
"425","Jonuta",18.0833,-92.1333,"A"
"426","Escuinapa",22.835,-105.778,"A"
"427","Tepetlaoxtoc",19.5731,-98.8203,"C"
"428","Magdalena de Kino",30.6167,-111.05,"B"
"429","Temascaltepec de González",19.0433,-100.0414,"C"
"430","Huatabampo",27.05,-109.4167,"B"
"431","San Salvador El Seco",19.1333,-97.65,"C"
"432","Ometepec",16.6833,-98.4167,"A"
"433","Nanchital de Lázaro Cárdenas del Río",18.0667,-94.4167,"A"
"434","Villa Donato Guerra",19.3083,-100.1422,"C"
"435","Xalatlaco",19.1811,-99.4164,"C"
"436","Escárcega",18.6067,-90.7344,"A"
"437","Juchitepec",19.0997,-98.8792,"C"
"438","San Rafael",20.1889,-96.8658,"A"
"439","Actopan",20.2681,-98.9442,"B"
"440","Zapotiltic",19.627,-103.417,"C"
"441","San Fernando",24.8504,-98.16,"C"
"442","Ozumba",19.0392,-98.7936,"C"
"443","Teapa",17.5483,-92.953,"A"
"444","Reforma",17.8658,-93.1472,"A"
"445","Úrsulo Galván",19.4,-96.3,NA
"446","Abasolo",20.45,-101.517,"C"
"447","Las Rosas",16.3667,-92.35,"C"
"448","Navolato",24.7656,-107.7019,"B"
"449","San Salvador",20.2833,-99.0153,"B"
"450","Ciudad Sahagun",19.7714,-98.5803,"C"
"451","Cuitzeo del Porvenir",19.9686,-101.1394,"C"
"452","Zacoalco de Torres",20.2333,-103.5833,"B"
"453","Metepec",19.2511,-99.6047,"C"
"454","Tetela de Ocampo",19.8167,-97.8,"C"
"455","Xochistlahuaca",16.7914,-98.2419,"A"
"456","San Felipe Jalapa de Díaz",18.0667,-96.5333,"A"
"457","Nochistlán de Mejía",21.3642,-102.8464,"C"
"458","Quiroga",19.6667,-101.5333,"C"
"459","Villa Luvianos",18.92,-100.2983,"A"
"460","Motozintla",15.3632,-92.2477,"A"
"461","Tlalpujahua de Rayón",19.805,-100.1744,"C"
"462","Soledad de Doblado",19.05,-96.4167,"A"
"463","Atlautla",19,-98.7167,"C"
"464","San Juan Guichicovi",16.9667,-95.0833,"A"
"465","Contla",19.3333,-98.1667,"C"
"466","Apaxco de Ocampo",19.98,-99.17,"C"
